text,label
SQL joins clicked today,coding
Plating practice to make dinner look fancy,cooking
Airport lounge hack for long layovers,travel
Contributing to open source for the first time,coding
Cosplaying my favorite character at the con next month,anime
Planning an itinerary for two weeks in Japan,travel
Anime club at school is watching a psychological thriller this week,anime
Click here to claim your free vacation,off_topic
"Just renewed my passport, the line was so long",off_topic
"NaNoWriMo day 9, at 15k words",writing
Bench press stuck at the same weight for weeks,fitness
Commission finished for a friend's birthday,art
Keyboard shortcuts are making me faster,coding
"Pointe shoes arrived, breaking them in slowly",dance
Point of view: first person or close third?,writing
"Film roll came back from the lab, half of them are blurry",photography
Tuning my drums properly changed the sound completely,music
Travel insurance saved me when I got sick abroad,travel
Portrait session with my friend in the park,photography
Async await finally clicked,coding
"Lip trills and sirens every morning, 10 minutes, huge difference",singing
Studio Ghibli marathon with my kids tonight,anime
"My first wedding as second shooter, exhausting but fun",photography
Is creatine worth it?,fitness
"New patch nerfed my main, back to the drawing board",gaming
How many rest days a week do you take?,fitness
My range expanded by almost a full step this year,singing
Waiting a whole year for the next cour is painful,anime
Guitar pedalboard build finally done,music
Packing list for a winter trip?,travel
Finally hit diamond rank in ranked after grinding all season,gaming
Sore for three days after the new routine,fitness
"New chord progression stuck in my head, recording a demo tonight",music
"Perspective drawing of my street, vanishing points everywhere",art
Best way to avoid jet lag on long flights?,travel
Battle prep: working on transitions between power moves and footwork,dance
Which synth plugin do you use for pads?,music
Floor work on hardwood leaves bruises everywhere haha,dance
Docker finally makes sense,coding
"Free iPhone giveaway, just share this post",off_topic
Sunday roast with all the trimmings,cooking
"Solo trip to a new country, nervous and excited",travel
Wrote a letter to my future self,writing
"Ballet barre work is humbling, my pliés are shaky",dance
Watercolor wash went wrong so I turned it into a sunset,art
Sourdough starter is alive and bubbling,cooking
"The romcom finally had them confess, took 3 seasons",anime
Tacos al pastor on the stovetop,cooking
The high note in the bridge still scares me,singing
Fog at sunrise made the landscape magical,photography
Cycling 50km this weekend with the club,fitness
"Underexposed by two stops, rescued it in editing",photography
Revising the ending for the third time,writing
Grilled vegetables on the barbecue,cooking
The boss fight music slaps,gaming
This villain is the best written antagonist I've seen,anime
Submitted a short story to a literary magazine,writing
Making my own stock from chicken bones,cooking
Made fresh pasta from scratch for the first time,cooking
"My landlord raised the rent again, so annoying",off_topic
Stir fry with leftover rice for dinner,cooking
Hot take: the manga ending was better than the adaptation,anime
Power outage in our neighborhood since last night,off_topic
Ran my first 10k without stopping,fitness
What's your go-to song for karaoke night?,singing
Falsetto practice is making my upper range lighter,singing
"Boxing class for cardio, so fun",fitness
"Deployed my app to the cloud, it's live!",coding
"Morning run at 6am, empty streets, great vibe",fitness
Choir rehearsal: the altos finally nailed that harmony,singing
Wrote my first unit tests and found two bugs immediately,coding
Street food tour in the old city was incredible,travel
"Speedrunning the first level, got my time under two minutes",gaming
Did the TikTok trend with my little sister and she did it better,dance
Anyone else's backlog growing faster than they can play?,gaming
"Server maintenance right when I had free time, typical",gaming
"Macarons cracked, what went wrong?",cooking
"Fanfiction chapter posted, comments are so kind",writing
Stretching every morning finally got me closer to my splits,dance
"Job opening at my company, send your resume",off_topic
"Digital painting on my tablet, still learning brushes",art
Improvising over a 12 bar blues,music
Finally landed a clean double pirouette after three weeks of drilling it,dance
Tracking macros is tedious but it works,fitness
Couch to 5k week 6 done,fitness
"Rewatching the series in sub this time, the voice acting hits different",anime
Value studies in grayscale before adding color,art
Homemade ramen broth simmered for 12 hours,cooking
Need a lawyer recommendation for a parking ticket,off_topic
Digital nomad month working from a beach town,travel
Writing at 5am before work is my only quiet time,writing
Memory leak hunt took all night,coding
Level design in this platformer is genius,gaming
Hit a wall on chapter three so I skipped to chapter five,writing
Breath support exercises are boring but they work,singing
Signed up for a trail running race,fitness
Bought the art book and the key frames are gorgeous,anime
Lost 5kg since January with consistency,fitness
"Spice rack reorganized, now I can find everything",cooking
Studio mirror was fogged up tonight but the choreo is finally sticking,dance
Should I learn Rust or Go next?,coding
Just finished the final arc and I'm not okay,anime
Photo walk with the local club this Sunday,photography
Wrote a scraper to track prices,coding
Honey and warm water or is that a myth?,singing
"Selling my old sofa, pickup only, message me",off_topic
"Dialogue is my strength, description is my weakness",writing
Train pass across Europe was worth every cent,travel
Automated my home lights with a Raspberry Pi,coding
Cheapest flights are always on Tuesday?,travel
"Tried singing opera for the first time, my diaphragm hurts",singing
Knife skills class: my onion dice is finally even,cooking
My hip hop crew is entering the regional battle next month,dance
Finished mixing my first track in the DAW,music
"Hundred percent completion, every collectible found",gaming
Hit 100kg squat for the first time,fitness
Posted my photo essay about my grandmother's village,photography
How do you get crispy skin on salmon?,cooking
Printmaking class: carved my first linocut,art
Mixed media collage with old magazines,art
Cool down after rehearsal is non negotiable for my knees,dance
Saxophone reed choice matters so much,music
Anyone know a good plumber in the area?,off_topic
Writing prompts saved me from a slump,writing
Hot take on the election results,off_topic
Pair programming session taught me so much,coding
Busking downtown with my ukulele and voice today,singing
Mixed voice finally clicked in lesson today!,singing
Waacking arms are so fast I keep losing count,dance
Vocal coach says I'm pushing chest voice way too high,singing
Protein shake recommendations that don't taste like chalk?,fitness
"Push day: bench, overhead press, dips",fitness
"Recorded a cover and posted it, 3 likes, I'll take it",singing
Hiked to the viewpoint at sunrise,travel
Built a discord bot for my friends,coding
"Long exposure of the waterfall, silky smooth",photography
Transcribed a jazz solo by ear,music
"Sensor dust spots on every photo, time to clean",photography
Our band recorded a live session in the garage,music
"My aim is so inconsistent in shooters, any drills?",gaming
"Deload week, lifting lighter and feeling fresh",fitness
Car insurance quotes are ridiculous this year,off_topic
"Baking bread without a mixer, kneading is a workout",cooking
"Co-op campaign with my brother, we keep falling off the same ledge",gaming
"Throat feels tight when I sing low, is that normal?",singing
"Built a to-do app, the classic first project",coding
"Scales on vowels only, no words, for a week straight",singing
My histogram is always clipping the highlights,photography
Worldbuilding a magic system with real costs,writing
Shooting in manual mode is starting to click,photography
Kettlebell swings are a full body burner,fitness
My plot has a hole the size of a truck,writing
Knife sharpening with a whetstone,cooking
Backpacking through the mountains with just a 40 liter pack,travel
"Burnt the garlic again, starting over",cooking
Produced a lo-fi beat on my laptop,music
Sports anime got me into volleyball in real life,anime
"Watched the recital video, my timing was a half count late",dance
The story twist in the final chapter got me,gaming
"Street photography downtown, candid moments everywhere",photography
"Trying gouache for the first time, messier than watercolor",art
"Found a wallet at the bus stop, trying to return it",off_topic
The soundtrack composer is a genius,anime
Musicality workshop changed how I hear the beat,dance
Paella in a proper pan finally,cooking
Smoked a brisket for 14 hours,cooking
"Inktober day 12, running out of ideas",art
Researching the 1920s for my historical novel,writing
Does anyone know what time the pharmacy closes?,off_topic
"Jam session with the band, we wrote a new riff",music
My villain's motivation finally makes sense,writing
"Got my first rejection letter, framing it",writing
Soulslike games are teaching me patience,gaming
Back home and already planning the next trip,travel
Shot through a prism for some rainbow flares,photography
Regex that works on the first try doesn't exist,coding
"Built my first gaming PC, cable management is a nightmare",gaming
Hackathon team won second place!,coding
Mobility routine fixed my lower back pain,fitness
The fight choreography in episode 12 was insane,anime
"Ferry to the fjords, the views were unreal",travel
Arranging a cover with new chords,music
The new choreographer pushes us hard but the piece is beautiful,dance
Finished the first draft of my novel!,writing
"Poetry slam tonight, reading my new piece",writing
Promote your business with our SEO services,off_topic
Farming materials for three hours for one upgrade,gaming
Blog post about my writing process,writing
The time skip redesigns are so good,anime
Pastel pencils are underrated,art
Sculpting a small clay figure for the first time,art
That opening song has been stuck in my head for a week,anime
Learning to paint skies with just three colors,art
Visited my 30th country this year!,travel
Wrote a poem on the train this morning,writing
Trying double exposures in camera,photography
"Crypto presale ending soon, 100x guaranteed 🚀🚀",off_topic
My pull request got merged!,coding
Learning to sing and play guitar at the same time is so hard,singing
Get rich quick with this one simple trick,off_topic
Hitchhiked with a kind trucker across the valley,travel
Off by one errors are my nemesis,coding
The crafting system in this survival game is so deep,gaming
Recipe testing for my food blog,cooking
Watch order for this franchise is so confusing,anime
Beta readers loved the twist!,writing
My jazz leaps finally have height after all those plyometrics,dance
"Irish dance feis this weekend, curls and all",dance
"First attempt at laminated dough, butter everywhere but it worked",cooking
The power system in this shonen makes zero sense but I love it,anime
Sampling vinyl records for a hip hop beat,music
Gallery accepted two of my paintings for the exhibition,art
Finally shipped the side project I've been tinkering with for months,coding
Why is my recursive function hitting max depth?,coding
"Orchestra rehearsal, the brass section was loud",music
Rewrote the opening line for the tenth time,writing
Rented a scooter to explore the countryside,travel
Rage quit after the fifth checkpoint reset,gaming
Learning barre chords on guitar is painful,music
Hit a high C in warmups today without straining,singing
My art teacher said to stop outlining everything,art
"Performed a duet at the wedding, nobody noticed my shaky start",singing
Parkrun personal best this Saturday,fitness
Instant film camera at the party was a hit,photography
My croissants finally have layers,cooking
Bachata footwork drill for 20 minutes a day really helps,dance
Learning a few phrases in the local language helps so much,travel
"Stream went well tonight, 30 viewers!",gaming
Played at the open stage on keys,music
Painted a mural on my bedroom wall,art
Couchsurfing experience was amazing,travel
"Canvas stretched and primed, ready to start",art
"Sang the national anthem at my kid's game, nervous but proud",singing
Finished a still life of fruit and a vase,art
Who else is tired of Mondays,off_topic
My vibrato finally feels natural instead of forced,singing
"Portrait study: the eyes are good, the mouth is off",art
Soup season: roasted tomato soup today,cooking
"Top 3 openings of all time, go",anime
"Competition in two weeks, resting my voice until then",singing
"My phone battery dies so fast, what should I do?",off_topic
Selling prints at the local art fair this weekend,art
"Shot the whole trip on my phone, still pretty happy",photography
Cut 10k words from the draft and it's better,writing
Which studio do you think has the best animation right now?,anime
Overnight train through the countryside,travel
Made butter from scratch just to see,cooking
Took my first contemporary class and I have never felt so uncoordinated lol,dance
"Refactored the whole module, deleted 500 lines",coding
Visa application process was a nightmare,travel
My cat knocked over my coffee this morning,off_topic
Fingerpicking pattern is finally smooth,music
Is a full frame upgrade worth it for hobbyists?,photography
The OVA explains so much about the side characters,anime
"Bought a used prime lens, the bokeh is creamy",photography
Walked 20k steps exploring the hills,fitness
Short story anthology accepted my piece,writing
Editing is where the real writing happens,writing
Slow cooked beef stew all afternoon,cooking
Why do all protagonists have spiky hair lol,anime
"Bought a secondhand bass, the tone is warm",music
"Tap class today, my shuffle ball changes are finally even",dance
"MIDI keyboard arrived, time to make music",music
Foam rolling after every workout now,fitness
"Convention haul: posters, keychains, and a plushie",anime
My comfort show is a cooking anime about a family,anime
Belting without hurting my throat is still a mystery,singing
Spotting is the secret. Once I fixed my spotting I stopped getting dizzy,dance
Breaking practice: windmills are destroying my back but worth it,dance
Sunset from the temple steps,travel
Seasonal lineup this fall looks stacked,anime
"Light novel is way ahead of the show, tempted to read it",anime
Couch multiplayer party game night was chaos,gaming
Golden retriever portraits for my neighbor,photography
Tried a HIIT class and nearly passed out,fitness
Practiced scales for an hour and my fingers are done,music
Performed in the flash mob downtown today!,dance
Seinen shows hit harder as an adult,anime
